46.9422	2.37261	2.12761
102.631	3.50673	1.97874
166.274	4.77717	1.94607
261.739	6.48892	1.77479
404.939	9.1918	1.86783
579.959	12.26303	1.77267
762.935	15.3054	1.7198
953.865	18.28833	1.66773
1200.49	21.74417	1.58467
1502.8	25.7851	1.59742
1876.71	30.07442	1.54464
2354.04	34.8151	1.55165
2910.93	39.53676	1.5887
3626.93	44.55816	1.65635
4533.88	49.55127	1.74359
5647.68	54.38399	1.85242
7031.99	58.94987	1.96636
8758.42	63.22538	2.08175
10898.6	67.13996	2.1922
13571.8	70.70348	2.29561
16913.4	73.9207	2.39067
21050.7	76.79351	2.47657
26142.9	79.34951	2.55361
32587.7	81.67853	2.62426
40544.5	83.76804	2.68799
50411	85.65021	2.74568
62744.4	87.3747	2.79884
78101.7	88.94839	2.84767
97119.5	90.38731	2.89266
120832	91.72264	2.93483
150275	92.95207	2.97414
186959	94.09921	3.0114
232636	95.17177	3.04694
289453	96.15143	3.08033
360038	97.07183	3.11276
447970	97.92061	3.14406
557309	98.68685	3.17413
693307	99.38359	3.20369
862568	100.0106	3.23314
1.07313E6	100.56267	3.2628
1.3351E6	101.03826	3.29322
1.66097E6	101.40425	3.32416
2.06642E6	101.65663	3.35643
2.57078E6	101.82007	3.39199
3.19825E6	101.82007	3.42997
