0.07821	3.07017	1.31831
0.08208	4.34583	1.08925
0.08598	5.46885	0.90122
0.0899	7.04496	0.77112
0.09377	7.41339	0.66507
0.09765	7.82139	0.57337
0.10158	7.60596	0.4997
0.10552	7.61555	0.44227
0.10943	7.63217	0.39651
0.11334	8.03083	0.35525
0.11724	7.92561	0.32346
0.12115	8.41594	0.29395
0.1251	8.40526	0.27072
0.12901	7.9882	0.2519
0.13293	8.30286	0.23253
0.13685	8.27404	0.21961
0.14074	7.9286	0.20418
0.14467	8.08968	0.19299
0.14858	8.29347	0.18518
0.15245	8.04745	0.17538
0.15632	7.78278	0.16643
0.16024	7.67178	0.15765
0.16414	7.44329	0.15188
0.16801	7.48777	0.14633
0.17192	7.33587	0.1404
0.17583	7.23268	0.13483
0.17975	7.37223	0.13047
0.18367	7.02872	0.12569
0.18756	7.03508	0.12253
0.19146	6.85118	0.11803
0.19538	6.57805	0.11375
0.19931	6.51671	0.11048
0.20275	6.69206	0.12596
0.15033	7.60868	0.19426
0.1673	7.26206	0.13682
0.18486	6.5172	0.09614
0.20277	6.21283	0.0758
0.21998	5.61284	0.06282
0.23697	5.20183	0.05199
0.25454	4.58335	0.04327
0.27222	4.28744	0.03795
0.28947	3.84378	0.03421
0.3067	3.51974	0.03014
0.32412	3.13361	0.02754
0.34164	2.85117	0.02468
0.3592	2.59033	0.0234
0.37651	2.33489	0.02184
0.39377	2.10666	0.0209
0.41124	1.85817	0.01944
0.42887	1.686	0.01915
0.44614	1.5148	0.01877
0.46329	1.36534	0.01872
0.48084	1.19639	0.01812
0.49854	1.07558	0.01867
0.51577	0.94753	0.01909
0.53299	0.83076	0.01927
0.55051	0.71712	0.0192
0.56815	0.61847	0.01925
0.58554	0.53735	0.01912
0.60277	0.45409	0.01817
0.62013	0.37473	0.01658
0.63763	0.32469	0.01452
0.65513	0.27856	0.01232
0.67248	0.24642	0.01001
0.68978	0.22209	0.00777
0.7073	0.21175	0.00578
0.72485	0.20274	0.00433
0.74212	0.19801	0.00326
0.75937	0.19023	0.00249
0.77159	0.17833	0.00319
